audio,age,id,sad,happy,lead_time,disgust,updated_at,annotation_id,fear,created_at,gender,annotator,mood,surprise,sentiment,notes,anger,anxiety
/data/local-files/?d=sample/8404_8.m4a,20s,1,None,Extremely,27.609,None,2023-02-14T13:24:32.990904Z,211,None,2023-01-26T22:43:11.463062Z,Male,2,Great,None,+2,,None,0 - None
/data/local-files/?d=sample/8404_8.m4a,20s,1,None,Extremely,85.507,None,2023-01-24T07:30:36.060637Z,34,None,2023-01-24T07:30:36.060594Z,Male,3,Great,A little,+2,,None,0 - None
/data/local-files/?d=sample/8404_8.m4a,20s,1,None,Extremely,71.907,None,2023-01-23T08:08:17.946630Z,1,None,2023-01-23T07:37:31.334724Z,Male,1,Great,A little,+3,,None,4
/data/local-files/?d=sample/96099_4.m4a,50s,2,None,Moderate,11.708,None,2023-01-26T22:43:25.639334Z,212,A little,2023-01-26T22:43:25.639289Z,Male,2,Good,Moderate,+1,,None,2
/data/local-files/?d=sample/96099_4.m4a,30s,2,None,Moderate,62.94,None,2023-01-24T07:31:48.492197Z,35,None,2023-01-24T07:31:48.492155Z,Male,3,Good,None,+2,,None,0 - None
/data/local-files/?d=sample/96099_4.m4a,40s,2,None,Moderate,27.222,None,2023-01-23T07:38:01.752235Z,2,A little,2023-01-23T07:38:01.752194Z,Male,1,Good,A little,+1,,None,4
/data/local-files/?d=sample/-3g5yACwYnA_5.m4a,40s,3,A little,None,41.14,None,2023-02-14T13:31:27.524144Z,213,A little,2023-01-26T22:43:57.944104Z,Male,2,Meh,None,0,,None,1
/data/local-files/?d=sample/-3g5yACwYnA_5.m4a,40s,3,None,A little,89.447,None,2023-01-24T07:33:23.643314Z,36,None,2023-01-24T07:33:23.643271Z,Male,3,Meh,None,0,,None,0 - None
/data/local-files/?d=sample/-3g5yACwYnA_5.m4a,30s,3,None,A little,33.705,None,2023-01-23T07:38:37.771985Z,3,Moderate,2023-01-23T07:38:37.771940Z,Male,1,Good,None,+1,,None,7
/data/local-files/?d=sample/-UuX1xuaiiE_4.m4a,50s,4,None,Moderate,11.431,None,2023-01-26T22:44:12.739477Z,214,None,2023-01-26T22:44:12.739432Z,Male,2,Good,Moderate,0,,None,3
/data/local-files/?d=sample/-UuX1xuaiiE_4.m4a,30s,4,A little,A little,67.705,None,2023-03-15T10:24:57.926568Z,37,A little,2023-01-24T07:34:30.285189Z,Male,3,Meh,None,0,,None,1
/data/local-files/?d=sample/-UuX1xuaiiE_4.m4a,30s,4,None,A little,24.84,None,2023-01-23T07:39:05.062384Z,4,None,2023-01-23T07:39:05.062341Z,Male,1,Meh,None,+1,,None,3
/data/local-files/?d=sample/-egA8-b7-3M_14.m4a,40s,5,None,Moderate,39.491,None,2023-01-24T07:35:16.061603Z,38,None,2023-01-24T07:35:16.061551Z,Female,3,Good,None,+1,,None,0 - None
/data/local-files/?d=sample/-egA8-b7-3M_14.m4a,50s,5,None,A little,65.59299999999999,None,2023-02-14T13:25:08.787564Z,9,None,2023-01-23T08:08:54.099199Z,Female,2,Meh,None,+1,,None,3
/data/local-files/?d=sample/-egA8-b7-3M_14.m4a,40s,5,None,None,41.151,A little,2023-03-09T13:01:12.568517Z,5,None,2023-01-23T07:39:35.293066Z,Female,1,Meh,None,+1,,None,3
/data/local-files/?d=sample/-t217m2on-s_0.m4a,40s,6,None,A little,18.81,None,2023-02-14T13:25:33.995363Z,215,A little,2023-01-26T22:44:25.555980Z,Male,2,Meh,None,+1,,None,2
/data/local-files/?d=sample/-t217m2on-s_0.m4a,20s,6,None,A little,46.067,None,2023-01-24T07:36:06.364217Z,39,None,2023-01-24T07:36:06.364172Z,Male,3,Good,None,+1,,None,0 - None
